codigo,nombre,categoria,proveedor,precio_unidad,precio_10,precio_50,precio_100,precio_bulto,cantidad_bulto,observaciones,fuente_fila,activo
HEL-0007,TERMICO X 1 KG.,TERMICOS ISOPOR CONICOS,,,,,,53000,POR 20 UND. (11000),,7,TRUE
HEL-0008,TERMICO X 1/2 K.G,TERMICOS ISOPOR CONICOS,,,,,,36000,POR 20 UND. (7500),ESTISOL,8,TRUE
HEL-0009,TERMICO X 1/4 K.G.,TERMICOS ISOPOR CONICOS,,,,,,22700,POR 20 UND. (4600),,9,TRUE
HEL-0011,TERMICOS X 1 KG.,TERMICOS ISOPOR CUADRADOS,,,,,,57600,POR 100 UNID.,,11,TRUE
HEL-0012,TERMICOS X 1/2 KG.,TERMICOS ISOPOR CUADRADOS,,,,,,38700,POR 100 UNID.,FACETADO,12,TRUE
HEL-0013,TERMICOS X 1/4 KG.,TERMICOS ISOPOR CUADRADOS,,,,,,23900,POR 100 UNID.,,13,TRUE
HEL-0015,TERMICOS X 1 KG.,TERMICOS ECONOMICOS,,,,,,,POR 100 UNID. (0),,15,TRUE
HEL-0016,TERMICOS X 1/2 KG.,TERMICOS ECONOMICOS,,,,,,,POR 100 UNID. (0),ECONOMICO,16,TRUE
HEL-0017,TERMICOS X 1/4 KG.,TERMICOS ECONOMICOS,,,,,,,POR 100 UNID.,,17,TRUE
HEL-0019,VASO Nº 30,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,,CAJA X 660,,19,TRUE
HEL-0020,VASO Nº 40,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,,,,20,TRUE
HEL-0021,VASO Nº 50,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,28000,CAJA X 420,,21,TRUE
HEL-0022,VASO Nº 65,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,23500,CAJA X 280,,22,TRUE
HEL-0023,VASO Nº 80,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,,,,23,TRUE
HEL-0024,VASO Nº 60,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,,CAJA X 456,,24,TRUE
HEL-0025,VASO Nº 90,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,23500,CAJA X 261,,25,TRUE
HEL-0026,VASO Nº 125,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,23500,CAJA X 234,,26,TRUE
HEL-0027,VASO Nº 250,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,,,,27,TRUE
HEL-0028,CONO Nº 50,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,,CAJA X 420,,28,TRUE
HEL-0029,CONO Nº 70,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,23500,CAJA X 330,,29,TRUE
HEL-0030,CONO Nº 80,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,,,,30,TRUE
HEL-0031,CONO DOBLE,VASOS Y CONOS (LUCAS S. Y VOPPER),,,,,,18000,CAJA X 135,,31,TRUE
HEL-0036,CUCURUCHOS ENSOBRADOS 40 X 3,CUCURUCHOS POLI,,,,,,37400,CAJA X 120,,36,TRUE
HEL-0038,CUCURUCHO polito X 150,CUCURUCHOS POLI,,,,,,44500,CAJA X 150,,38,TRUE
HEL-0039,CUCURUCHO polito X 180 BOCA chica,CUCURUCHOS POLI,,,,,,48000,CAJA X 180,,39,TRUE
HEL-0041,CUCURUCHON ( POLITO ),CUCURUCHOS POLI,,,,,,47700,CAJA X 120,,41,TRUE
HEL-0042,CONO AMERICANO,CUCURUCHOS POLI,,,,,,,CAJA X 300,,42,TRUE
HEL-0043,CAPELINA,CUCURUCHOS POLI,,,,,,38400,CAJA X 96,,43,TRUE
HEL-0044,CORAZONES,CUCURUCHOS POLI,,,,,,,CAJA X 500,,44,TRUE
HEL-0045,TRIANGULITOS,CUCURUCHOS POLI,,,,,,,CAJA X 500,,45,TRUE
HEL-0047,CUCURUCHO Nª 35 ensobrado 60 x 3 unid.,CUCURUCHOS LUCAS,,,,,,,CAJA X 180,,47,TRUE
HEL-0048,CUCURUCHO Nª 40 ensobrado 50 x 3 unid.,CUCURUCHOS LUCAS,,,,,,,CAJA X 150,,48,TRUE
HEL-0051,CUCURUCHON LUCAS X 200,CUCURUCHOS LUCAS,,,,,,,CAJA X 200,,51,TRUE
HEL-0052,MINI CUCURUCHON LUCAS X 300,CUCURUCHOS LUCAS,,,,,,,CAJA X 300,,52,TRUE
HEL-0054,PLASTICO 1/4 (caja x 1000),PLASTICO,,,,,,10500,x 100,,54,TRUE
HEL-0055,PLASTICO 1/8 (caja x 1500),PLASTICO,,,,,,,x 100,,55,TRUE
HEL-0056,"PLASTICO 0,80 (caja x 1300)",PLASTICO,,,,,,11,x 100,,56,TRUE
HEL-0057,PORTA CONO,PLASTICO,,,,,,,x 100,,57,TRUE
HEL-0058,PORTA CONO GIANCARLI,PLASTICO,,,,,,,X 250,,58,TRUE
HEL-0059,PORTA CONO PLASTIVAS (caja x 3000),PLASTICO,,,,,,,x 100,,59,TRUE
HEL-0062,CUCHARITAS OPACAS,CUCHARITAS,,,,,,4500,X 1 KILO,,62,TRUE
HEL-0063,CUCHARITAS COLORES,CUCHARITAS,,,,,,7000,X 1 KILO,,63,TRUE
HEL-0064,CUCHARITAS COLONO COLOR PLENO,CUCHARITAS,,,,,,10000,X 1 KILO,,64,TRUE
HEL-0065,CUCHARITA COLONO MANGO LARGA,CUCHARITAS,,,,,,15000,X 1 KILO,,65,TRUE
HEL-0066,CUCHARITAS CONCAVAS,CUCHARITAS,,,,,,,X 1 KILO / x caja 5 kg.,,66,TRUE
HEL-0067,CUCHARITAS MEDIANAS,CUCHARITAS,,,,,,17000,X 1000,,67,TRUE
HEL-0068,CUC. SUNDAE ECONOMICAS,CUCHARITAS,,,,,,,X 1000,,68,TRUE
HEL-0069,CUC. SUNDAE COLONO FLUOR,CUCHARITAS,,,,,,,X 1000,,69,TRUE
HEL-0070,CUC. SUNDAE BUENAS Giancarli,CUCHARITAS,,,,,,,X 1000,,70,TRUE
HEL-0072,SALSA CHOCO / FRUTI / DULCE / CARAMELO.,SALSAS (GHELCO),,,,,,94,X 840 GRS.,,72,TRUE
HEL-0073,SALSA Choco / Dulce / Frutilla / Caramelo,SALSAS (GHELCO),,,,,,8400,6500,,73,TRUE
HEL-0075,BOLSA IMPRESA,BOLSAS PORTA KILO,,,,,,,X 100,,75,TRUE
HEL-0076,BOLSA COMUN,BOLSAS PORTA KILO,,,,,,,X 100,,76,TRUE
HEL-0078,BAR GARBO OCACION,SERVILLETAS,,,,,,,10,,78,TRUE
HEL-0079,BAR ANECHINI,SERVILLETAS,,,,,,,10,,79,TRUE
HEL-0080,ZIC - ZAC,SERVILLETAS,,,,,,45000,10,,80,TRUE
HEL-0081,BAR,SERVILLETAS,,,,,,,paquete,,81,TRUE
HEL-0082,ZIC ZAC,SERVILLETAS,,,,,,2500,paquete,,82,TRUE
HEL-0083,Servilleta ARTI,SERVILLETAS,,,,,,,caja x 1600,,83,TRUE
HEL-0085,COMUN / BAR,SERVILLETEROS,,,,,,,1,,85,TRUE
HEL-0086,ZIC - ZAC,SERVILLETEROS,,,,,,5000,1,,86,TRUE
HEL-0088,360 ENPOLEX,CONTENEDORES ENPOLEX,,,,,,86000,CAJA X 500,,88,TRUE
HEL-0089,36O ENPOLEX,CONTENEDORES ENPOLEX,,,,,,20000,X 100,,89,TRUE
HEL-0090,36O ENPOLEX,CONTENEDORES ENPOLEX,,,,,,5000,X 25,,90,TRUE
HEL-0096,BARRA ALMENDRADO GRANDE,TERMICOS DE POSTRE,,,,,,20000,X 10 MED. 34/12/12,,96,TRUE
HEL-0097,BARRA MADIANA QUESITO,TERMICOS DE POSTRE,,,,,,14500,X 10 MED. 26/10/09,,97,TRUE
HEL-0098,BARRA CHICA 1/2 BARRA,TERMICOS DE POSTRE,,,,,,8000,X 07 MED. 19/12/12,,98,TRUE
HEL-0099,TERNICO DE 3 LITROS,TERMICOS DE POSTRE,,,,,,15000,X 10,,99,TRUE
HEL-0101,ESPATULAS,ESPATULAS Y MEDIOMUNDO,,,,,,3500,,,101,TRUE
HEL-0102,MEDIO MUNDO,ESPATULAS Y MEDIOMUNDO,,,,,,35000,,,102,TRUE
HEL-0104,LECHE EN POLVO PURISIMA X 25 KG.,LECHE EN POLVO,,,,,,,25 KG,,104,TRUE
HEL-0106,ALMENDRA C/ CHOCOLATE (101001),TOPPINS,,,,,,,X 6 KG ( ),,106,TRUE
HEL-0107,MINI GALLETITA COBERTURA C/ LECHE (103001),TOPPINS,,,,,,,X 5 KG ( ),,107,TRUE
HEL-0108,MICROGALLETITA INDUSTRIAL C/LECHE (103104),TOPPINS,,,,,,,X 5 KG,,108,TRUE
HEL-0109,CROCANTE DE MANI (104001) Argenfrut,TOPPINS,,,,,,,X 6 KG,,109,TRUE
HEL-0110,CROCANTE DE MANI (104001) Ghelco,TOPPINS,,,,,,,x 5 KG,,110,TRUE
HEL-0111,CERAL C/ CHOCOLATE C/ LECHE (105001),TOPPINS,,,,,,,X 5 KG,,111,TRUE
HEL-0112,BOTONCITOS DULCE DE LECHE ( 202003),TOPPINS,,,,,,,X 6 KG ( ),,112,TRUE
