codigo,nombre,categoria,proveedor,precio_unidad,precio_10,precio_50,precio_100,precio_bulto,cantidad_bulto,observaciones,fuente_fila,activo
H1-0003,Bandejas cartón rectangular Nº 1,BANDEJAS DE CARTON,,,600,2000,3200,48600,x 18 paq x 100 unid,,3,TRUE
H1-0004,Bandejas cartón rectangular Nº 2 (20x17 cm aprox),BANDEJAS DE CARTON,,,800,2500,3700,49500,x 15 paq. X 100 unid,,4,TRUE
H1-0005,Bandejas cartón rectangular Nº 3 (17x22 cm aprox),BANDEJAS DE CARTON,,,1000,3000,4700,48000,x 12 paq. X 100 unid,,5,TRUE
H1-0006,Bandejas cartón rectangular Nº 4 (21x26 cm aprox),BANDEJAS DE CARTON,,,1000,3200,5200,41400,x 9 paq. X 100 unid,,6,TRUE
H1-0007,Bandejas cartón rectangular Nº 5 (20x27 cm aprox),BANDEJAS DE CARTON,,,1000,3600,6300,50400,x 9 paq. X 100 unid,,7,TRUE
H1-0008,Bandejas cartón rectangular Nº 6 (25x31 cm aprox),BANDEJAS DE CARTON,,,1500,5500,9500,50400,x 6 paq. X 100 unid,,8,TRUE
H1-0009,Bandejas cartón rectangular Nº 6 ECO,BANDEJAS DE CARTON,,,1000,4000,7000,,x 6 paq de 100 unid,,9,TRUE
H1-0010,Bandejas cartón rectangular Nº 7 (25x37 cm aprox),BANDEJAS DE CARTON,,,1500,6000,11000,55800,x 6 paq. X 100 unid,,10,TRUE
H1-0011,Bandejas cartón rectangular Nº 8 ( x cm aprox),BANDEJAS DE CARTON,,,2000,8000,14500,50000,x 4 paq. X 100 unid,,11,TRUE
H1-0013,Bandejas cartón redondas Nº 12 (diametro 18/20 cm aprox),BANDEJAS DE CARTON,,,1000,3000,4500,48000,x 12 paq. X 100 unid,,13,TRUE
H1-0014,Bandejas cartón redondas Nº 12 1/2 (diametro 22 cm aprox),BANDEJAS DE CARTON,,,1000,3500,5600,60000,x 12 paq. X 100 unid,,14,TRUE
H1-0015,Bandejas cartón redondas Nº 13 (diametro 24 cm aprox),BANDEJAS DE CARTON,,,1200,4000,6300,50400,x 9 paq. X 100 unid,,15,TRUE
H1-0016,"Bandejas cartón redondas Nº 13 1/2 (diametro 26,5 cm aprox)",BANDEJAS DE CARTON,,,1300,4200,7100,56700,x 9 paq. X 100 unid,,16,TRUE
H1-0017,Bandejas cartón redondas Nº 14 (diametro 28 cm aprox),BANDEJAS DE CARTON,,,1500,5500,9300,73800,x 9 paq. X 100 unid,,17,TRUE
H1-0018,"Bandejas cartón redondas Nº 15 (diametro 31,5 cm aprox)",BANDEJAS DE CARTON,,,1500,6500,11500,63000,x 6 paq. X 100 unid,,18,TRUE
H1-0019,Bandejas cartón redondas Nº 16 (diametro 36 cm aprox),BANDEJAS DE CARTON,,,2000,8000,14500,52000,x 4 paq. X 100 unid,,19,TRUE
H1-0021,Conos Fritas ( Van),BANDEJAS DE CARTON,,,,,3400,15000,500 unid,,21,TRUE
H1-0022,Porta Pancho (Van) (largo 25 cm),BANDEJAS DE CARTON,,,,,3100,13500,500 unid,,22,TRUE
H1-0023,Porta Pancho promo (corto 16 cm),BANDEJAS DE CARTON,,,,,1200,10500,1000 unid,,23,TRUE
H1-0024,Porta Pancho Cartulina blanco (largo 22 cm),BANDEJAS DE CARTON,,,,,2300,20000,1000 unid,,24,TRUE
H1-0026,Palito Helado Natural (paq x 50 unid),BANDEJAS DE CARTON,,1000,8500,,,150000,caja x 200 paq de 50,,26,TRUE
H1-0027,Palito Helado Color (paq x 50 unid),BANDEJAS DE CARTON,,1200,10000,,,180000,caja x 200 paq de 50,,27,TRUE
H1-0030,Bandeja 101 (80x108),BANDEJAS DE CARTON,,,,3000,4600,64000,1600 unid,,30,TRUE
H1-0031,Tapa 101,BANDEJAS DE CARTON,,,,2500,4100,57600,1600 unid,,31,TRUE
H1-0033,Bandeja 102 (110x150),BANDEJAS DE CARTON,,,,5000,8100,86400,1200 unid,,33,TRUE
H1-0034,Tapa 102,BANDEJAS DE CARTON,,,,4000,6900,36600,600 unid,,34,TRUE
H1-0036,Bandeja 103 (138x179),BANDEJAS DE CARTON,,,,6500,11000,97000,1000 unid,,36,TRUE
H1-0037,Tapa 103,BANDEJAS DE CARTON,,,,5500,9500,42000,500 unid,,37,TRUE
H1-0039,Bandeja 105 ovalada (170x232),BANDEJAS DE CARTON,,,,9000,16000,84000,600 unid,,39,TRUE
H1-0040,Tapa 105 ovalada,BANDEJAS DE CARTON,,,,7000,12000,31500,300 unid,,40,TRUE
H1-0042,Bandeja 105 rectangular Promo al precio de la ovalada con tapa,BANDEJAS DE CARTON,,500,3500,15000,28000,,,,42,TRUE
H1-0043,Tapa 105 rectangualr,BANDEJAS DE CARTON,,,,,,,,,43,TRUE
H1-0045,Bandeja 107 (191x271),BANDEJAS DE CARTON,,,,12500,23000,82000,400 unid,,45,TRUE
H1-0046,Tapa 107,BANDEJAS DE CARTON,,,,10500,19100,34000,x 200 unid,,46,TRUE
H1-0048,Bandejas plástico micro Liviana Nº 102 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS LIVIANA (PE),,300,1500,5000,9000,120000,1500 unid,,48,TRUE
H1-0049,Bandejas plástico micro Liviana Nº 103 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS LIVIANA (PE),,400,2000,7000,13000,138000,1200 unid,,49,TRUE
H1-0050,Bandejas plástico micro Liviana Nº 105 x 100 unid.ovalada Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS LIVIANA (PE),,400,2500,10000,18600,99000,600 unid,,50,TRUE
H1-0051,Bandejas plástico micro Liviana Nº 107 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS LIVIANA (PE),,500,3500,14000,26100,94000,400 unid,,51,TRUE
H1-0053,Bandejas plástico micro Nº 101 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,5000,8000,112000,1600 unid,,53,TRUE
H1-0054,Bandejas plástico micro Nº 102 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,6500,11500,120000,1200 unid,,54,TRUE
H1-0055,Bandejas plástico micro Nº 103 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,10500,19500,170000,1000 unid,,55,TRUE
H1-0056,Bandejas plástico micro Nº 105 x 100 unid.ovalada Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,16500,31000,163200,600 unid,,56,TRUE
H1-0057,Bandejas plástico micro Nº 105 x 100 unid. Rectangular Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,17500,32500,171000,600 unid,,57,TRUE
H1-0058,Bandejas plástico micro Nº 107 x 100 unid. Cotnyl,BANDEJAS DE PLÁSTICO COTNYL MICROONDAS PESADA (PP),,,,,,,,,58,TRUE
H1-0061,Tapas micro 101 x 100 unid. Cotnyl,TAPA COTNYL Compatible MICRO PESADA Y LIVIANA,,,,3500,6000,84800,1600 unid,,61,TRUE
H1-0062,Tapas micro 102 x 100 unid. ( viene por 50 unid.) Cotnyl,TAPA COTNYL Compatible MICRO PESADA Y LIVIANA,,,,6000,10500,55200,600 unid,,62,TRUE
H1-0063,Tapas micro 103 x 100 unid. ( viene por 50 unid.) Cotnyl,TAPA COTNYL Compatible MICRO PESADA Y LIVIANA,,,,8000,14700,65000,500 unid,,63,TRUE
H1-0064,Tapas micro 105 oval. x 100 unid. ( viene por 50 unid.) Cot,TAPA COTNYL Compatible MICRO PESADA Y LIVIANA,,,,12500,23500,63000,300 unid,,64,TRUE
H1-0067,Bandeja 105 micro liviana Eco,BANDEJAS DE PLÁSTICO MICROONDAS LIVIANA ( eco),,,,,12000,63000,600 unid,,67,TRUE
